gid,objeto,geom,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
68,Gobierno local,MULTIPOINT(-60.467036125117 -30.948776172982),Comuna Naré,Comuna,Naré,823925,Comuna,CO,Santa Fe,82,BAHRA,IGN
69,Gobierno local,MULTIPOINT(-65.8764873684972 -28.2126967610466),Municipio El Rodeo,Municipio,El Rodeo,100007,Municipio,M3,Catamarca,10,BAHRA,IGN
70,Gobierno local,MULTIPOINT(-65.8992367970405 -28.0983112876358),Municipio Las Juntas,Municipio,Las Juntas,100021,Municipio,M3,Catamarca,10,BAHRA,IGN
71,Gobierno local,MULTIPOINT(-65.5006877208616 -28.8126440514818),Municipio Ancasti,Municipio,Ancasti,100035,Municipio,M2,Catamarca,10,BAHRA,IGN
72,Gobierno local,MULTIPOINT(-66.3154326851703 -27.5830189350758),Municipio Andalgalá,Municipio,Andalgalá,100049,Municipio,M1,Catamarca,10,BAHRA,IGN
73,Gobierno local,MULTIPOINT(-66.0208659749847 -27.4898884579859),Municipio Aconquija,Municipio,Aconquija,100042,Municipio,M2,Catamarca,10,BAHRA,IGN
74,Gobierno local,MULTIPOINT(-67.4065517113924 -26.0592666350472),Municipio Antofagasta de la Sierra,Municipio,Antofagasta de la Sierra,100056,Municipio,M3,Catamarca,10,BAHRA,IGN
75,Gobierno local,MULTIPOINT(-66.8212531899827 -27.0926800146709),Municipio Villa Vil,Municipio,Villa Vil,100119,Municipio,M3,Catamarca,10,BAHRA,IGN
76,Gobierno local,MULTIPOINT(-67.0263166065261 -27.6495292538719),Municipio Belén,Municipio,Belén,100063,Municipio,M1,Catamarca,10,BAHRA,IGN
77,Gobierno local,MULTIPOINT(-67.1020885628369 -27.4932508054803),Municipio Pozo de Piedra,Municipio,Pozo de Piedra,100091,Municipio,M3,Catamarca,10,BAHRA,IGN
78,Gobierno local,MULTIPOINT(-66.9447586037265 -27.1448010674153),Municipio Corral Quemado,Municipio,Corral Quemado,100070,Municipio,M3,Catamarca,10,BAHRA,IGN
79,Gobierno local,MULTIPOINT(-66.9286944313029 -27.2248365620576),Municipio Puerta de Corral Quemado,Municipio,Puerta de Corral Quemado,100098,Municipio,M3,Catamarca,10,BAHRA,IGN
80,Gobierno local,MULTIPOINT(-66.8342565126279 -27.2240444886622),Municipio Hualfin,Municipio,Hualfin,100077,Municipio,M3,Catamarca,10,BAHRA,IGN
81,Gobierno local,MULTIPOINT(-67.135512148167 -27.7125658594268),Municipio Londres,Municipio,Londres,100084,Municipio,M2,Catamarca,10,BAHRA,IGN
82,Gobierno local,MULTIPOINT(-67.0052405384201 -27.5480304259634),Municipio Puerta de San José,Municipio,Puerta de San José,100105,Municipio,M3,Catamarca,10,BAHRA,IGN
83,Gobierno local,MULTIPOINT(-66.046402098578 -28.772137376039),Municipio Capayán,Municipio,Capayán,100126,Municipio,M2,Catamarca,10,BAHRA,IGN
84,Gobierno local,MULTIPOINT(-65.9706039998746 -28.7295351003646),Municipio Huillapima,Municipio,Huillapima,100133,Municipio,M2,Catamarca,10,BAHRA,IGN
85,Gobierno local,MULTIPOINT(-65.7789173521541 -28.4690132406685),Municipio San Fernando del Valle de Catamarca,Municipio,San Fernando del Valle de Catamarca,100140,Municipio,M1,Catamarca,10,BAHRA,IGN
86,Gobierno local,MULTIPOINT(-65.3644441118063 -28.3106109641246),Municipio El Alto,Municipio,El Alto,100147,Municipio,M2,Catamarca,10,BAHRA,IGN
87,Gobierno local,MULTIPOINT(-65.1027307879954 -28.4048578901795),Municipio Tapso,Municipio,Tapso,100154,Municipio,M3,Catamarca,10,BAHRA,IGN
88,Gobierno local,MULTIPOINT(-65.7009247529749 -28.3875664003691),Municipio Fray Mamerto Esquiú,Municipio,Fray Mamerto Esquiú,100161,Municipio,M1,Catamarca,10,BAHRA,IGN
89,Gobierno local,MULTIPOINT(-65.0586114792363 -29.2788602587939),Municipio Recreo,Municipio,Recreo,100175,Municipio,M1,Catamarca,10,BAHRA,IGN
90,Gobierno local,MULTIPOINT(-65.3301651965666 -28.9195404736139),Municipio Icaño,Municipio,Icaño,100168,Municipio,M2,Catamarca,10,BAHRA,IGN
91,Gobierno local,MULTIPOINT(-65.6594385458522 -28.1544077404249),Municipio Paclín,Municipio,Paclín,100182,Municipio,M2,Catamarca,10,BAHRA,IGN
92,Gobierno local,MULTIPOINT(-66.1450924327695 -28.3169415716961),Municipio Mutquin,Municipio,Mutquin,100185,Municipio,M3,Catamarca,10,BAHRA,IGN
93,Gobierno local,MULTIPOINT(-66.221866494643 -28.3928829737702),Municipio Pomán,Municipio,Pomán,100189,Municipio,M2,Catamarca,10,BAHRA,IGN
94,Gobierno local,MULTIPOINT(-66.2160450418452 -28.1747062349048),Municipio Saujil,Municipio,Saujil,100196,Municipio,M2,Catamarca,10,BAHRA,IGN
95,Gobierno local,MULTIPOINT(-66.0664117649909 -26.7964594674305),Municipio San José,Municipio,San José,100203,Municipio,M2,Catamarca,10,BAHRA,IGN
96,Gobierno local,MULTIPOINT(-66.0479669342266 -26.6945250915597),Municipio Santa María,Municipio,Santa María,100210,Municipio,M1,Catamarca,10,BAHRA,IGN
97,Gobierno local,MULTIPOINT(-65.5011658508233 -28.0478902458381),Municipio Los Altos,Municipio,Los Altos,100213,Municipio,M2,Catamarca,10,BAHRA,IGN
98,Gobierno local,MULTIPOINT(-65.3192566899443 -28.1062870277241),Municipio Santa Rosa,Municipio,Santa Rosa,100217,Municipio,M2,Catamarca,10,BAHRA,IGN
99,Gobierno local,MULTIPOINT(-67.5643689789452 -28.0655616308645),Municipio Tinogasta,Municipio,Tinogasta,100231,Municipio,M1,Catamarca,10,BAHRA,IGN
100,Gobierno local,MULTIPOINT(-67.6208737050574 -27.6726986397304),Municipio Fiambalá,Municipio,Fiambalá,100224,Municipio,M2,Catamarca,10,BAHRA,IGN
101,Gobierno local,MULTIPOINT(-65.7249760446088 -28.4577533986004),Municipio Valle Viejo,Municipio,Valle Viejo,100238,Municipio,M1,Catamarca,10,BAHRA,IGN
102,Gobierno local,MULTIPOINT(-65.0366755873085 -42.7672814964438),Municipio Puerto Madryn,Municipio,Puerto Madryn,260007,Municipio,M1,Chubut,26,BAHRA,IGN
103,Gobierno local,MULTIPOINT(-64.2841628776147 -42.5720910612534),Comisión Puerto Pirámides,Comisión,Puerto Pirámides,265028,Comisión de Fomento,CF,Chubut,26,BAHRA,IGN
104,Gobierno local,MULTIPOINT(-71.1691283306079 -42.0505497622617),Municipio El Maitén,Municipio,El Maitén,260028,Municipio,M2,Chubut,26,BAHRA,IGN
105,Gobierno local,MULTIPOINT(-71.4311343837448 -42.5113511425412),Municipio Cholila,Municipio,Cholila,260014,Municipio,M2,Chubut,26,BAHRA,IGN
106,Gobierno local,MULTIPOINT(-70.6613977880774 -42.1730176119732),Comuna Cushamen,Comuna,Cushamen,268014,Comuna Rural,CR,Chubut,26,BAHRA,IGN
107,Gobierno local,MULTIPOINT(-71.5191432919294 -42.0640503029791),Municipio El Hoyo,Municipio,El Hoyo,260021,Municipio,M2,Chubut,26,BAHRA,IGN
108,Gobierno local,MULTIPOINT(-71.3710597789856 -42.2292260348536),Municipio Epuyén,Municipio,Epuyén,260035,Municipio,M2,Chubut,26,BAHRA,IGN
109,Gobierno local,MULTIPOINT(-70.5377200174648 -42.7238322617495),Comisión Gualjaina,Comisión,Gualjaina,265007,Comisión de Fomento,CF,Chubut,26,BAHRA,IGN
110,Gobierno local,MULTIPOINT(-71.5971400315872 -42.0601321618697),Municipio Lago Puelo,Municipio,Lago Puelo,260042,Municipio,M2,Chubut,26,BAHRA,IGN
111,Gobierno local,MULTIPOINT(-67.482159774354 -45.8654181471297),Municipio Comodoro Rivadavia,Municipio,Comodoro Rivadavia,260049,Municipio,M1,Chubut,26,BAHRA,IGN
112,Gobierno local,MULTIPOINT(-67.5537244368332 -45.9249664506411),Municipio Rada Tilly,Municipio,Rada Tilly,260056,Municipio,M2,Chubut,26,BAHRA,IGN
113,Gobierno local,MULTIPOINT(-65.7103327506559 -44.7984548741931),Municipio Camarones,Municipio,Camarones,260063,Municipio,M2,Chubut,26,BAHRA,IGN
114,Gobierno local,MULTIPOINT(-71.4643704469385 -43.093044655986),Municipio Trevelín,Municipio,Trevelín,260084,Municipio,M2,Chubut,26,BAHRA,IGN
115,Gobierno local,MULTIPOINT(-71.4688553318081 -43.5393021857472),Municipio Corcovado,Municipio,Corcovado,260070,Municipio,M2,Chubut,26,BAHRA,IGN
116,Gobierno local,MULTIPOINT(-71.3215725536304 -42.9173207101826),Municipio Esquel,Municipio,Esquel,260077,Municipio,M1,Chubut,26,BAHRA,IGN
117,Gobierno local,MULTIPOINT(-66.4713255564292 -43.699068407381),Comuna Dique Florentino Ameghino,Comuna,Dique Florentino Ameghino,268028,Comuna Rural,CR,Chubut,26,BAHRA,IGN
