alt	name
alto castelinho	Vargem Alta
jacigu	Vargem Alta
prosperidade	Vargem Alta
são josé de fruteiras	Vargem Alta
são joão de vicosa	Venda Nova do Imigrante
aracatiba	Viana, Espírito Santo
jurama	Vila Valério
são jorge da barra seca	Vila Valério
argolas	Vila Velha
ibes	Vila Velha
jucu	Vila Velha
são torquato	Vila Velha
posse d'abadia	Abadiânia
aguas lindas de goias	Águas Lindas de Goiás
goialandia	Anápolis
interlandia	Anápolis
joanapolis	Anápolis
rodrigues nascimento	Anápolis
sousania	Anápolis
choupana	Anicuns
britania	Aruanã
colinacu	Campinorte
santo antonio do rio verde	Catalão
auriverde	Crixás
jeroaquara	Faina
bacilandia	Fazenda Nova
natinopolis	Goianésia
marcianopolis	Goiatuba
damolandia	Inhumas
cavalheiro	Ipameri
domiciano ribeiro	Ipameri
piloandia	Israelândia
termas de itaja	Itajá, Goiás
aparecida de goias	Itapaci
jacilandia	Itapirapuã
cibele	Itapuranga
diolandia	Itapuranga
campolandia	Ivolândia
canada	Jussara, Goiás
são sebastião do rio claro	Jussara, Goiás
lua nova	Matrinchã
messianopolis	Moiporá
aparecida do rio claro	Montes Claros de Goiás
lucilandia	Montes Claros de Goiás
registro do araguaia	Montes Claros de Goiás
são luiz do tocantins	Niquelândia
tupiracaba	Niquelândia
vila taveira	Niquelândia
alto alvorada	Orizona
lagolandia	Pirenópolis
corrego rico	Planaltina
são gabriel de goias	Planaltina
castrinopolis	Rialma
lagoa do bauzinho	Rio Verde
ouroana	Rio Verde
riverlandia	Rio Verde
valdelandia	Rubiataba
forte	São João d'Aliança
rosalandia	São Luís de Montes Belos
geriacu	Uruaçu
pau terra	Uruaçu
uruceres	Uruana
uruita	Uruana
são joão de cortes	Alcântara
porto das gabarras	Anajatuba
bonfim do arari	Arari
bacatuba	Buriti Bravo
boa vista do pindare	Cajari
barao de tromai	Cândido Mendes
estandarte	Cândido Mendes
codozinho	Codó
são raimundo de codo	Codó
aurizona	Godofredo Viana
itapera	Icatu
lagoa dos rodrigues	Lago dos Rodrigues
custodio lima	Magalhães de Almeida
ibipira	Mirador, Maranhão
brejo de são felix	Parnarama
rocado	Pastos Bons
marianopolis	Pedreiras
pimentel	Pindaré-Mirim
pindare mirim	Pindaré-Mirim
roque	Pinheiro
curva grande	Santa Helena, Maranhão
caraiba do norte	São Francisco do Maranhão
ribeirao azul	São Francisco do Maranhão
buriti cortado	Timon
são joaquim dos melos	Tuntum
tutoia	Tutóia
nova nazare de borecaia	Água Boa, Mato Grosso
capao verde	Alto Paraguai
lavouras	Alto Paraguai
rondolandia	Aripuanã
toricueije	Barra do Garças
vale dos sonhos	Barra do Garças
